antecedents,consequents,support,confidence,lift
"frozenset({'Load=High', 'Teaching=Low', 'Achievement=High'})","frozenset({'Difficulty=High', 'Attend=Low'})",0.005909818134325922,0.556923076923077,12.625376074702501
"frozenset({'Teaching=Low', 'Achievement=High', 'Difficulty=High'})","frozenset({'Load=High', 'Attend=Low'})",0.005909818134325922,0.7869565217391304,11.428220669181767
"frozenset({'Load=High', 'Teaching=High', 'Attend=Low'})","frozenset({'Achievement=High', 'Difficulty=High'})",0.009076958239461913,0.46880269814502534,8.582199782479194
"frozenset({'Achievement=Low', 'Difficulty=Low', 'Attend=Low'})","frozenset({'Teaching=Low', 'Load=Low'})",0.023378065105952264,0.5495011511895626,8.427427019270272
"frozenset({'Teaching=High', 'Difficulty=High', 'Attend=Low'})","frozenset({'Load=High', 'Achievement=High'})",0.009076958239461913,0.7393617021276597,8.015727734889852
"frozenset({'Teaching=Low', 'Difficulty=High', 'Achievement=Medium'})","frozenset({'Load=High', 'Attend=Low'})",0.007019949717569465,0.5498721227621484,7.985269560851739
"frozenset({'Load=High', 'Attend=High', 'Achievement=High'})","frozenset({'Teaching=High', 'Difficulty=High'})",0.01763150161622098,0.44887780548628425,7.566197330010142
"frozenset({'Achievement=Low', 'Load=Low', 'Attend=Low'})","frozenset({'Teaching=Low', 'Difficulty=Low'})",0.023378065105952264,0.5628930817610063,7.450184276185972
"frozenset({'Achievement=High', 'Attend=High', 'Difficulty=High'})","frozenset({'Load=High', 'Teaching=High'})",0.01763150161622098,0.8206686930091185,7.062270317726966
"frozenset({'Teaching=Low', 'Load=Low', 'Attend=Medium'})","frozenset({'Achievement=Low', 'Difficulty=Low'})",0.006105723707839488,0.8025751072961373,6.715974811792021
"frozenset({'Attend=High', 'Teaching=Low', 'Load=Low'})","frozenset({'Achievement=Low', 'Difficulty=Low'})",0.005256799555947367,0.797029702970297,6.669570686576853
