ID,Class,Title,Year,Semester,Average Score,Attd_rate,avg_study,avg_diff,avg_performance,avg_satisfaction,recc_rate
SEDU330,04,학교폭력예방및학생의이해*Course not open for foreign exchange students,2023,2학기,3.8,자주함,3.2,2.6,2.8,3.3,8.3%
SEDU330,02,학교폭력예방및학생의이해*Course not open for foreign exchange students,2023,2학기,4.3,매번함,3.1,2.8,4.2,3.5,46.2%
SEDU330,01,학교폭력예방및학생의이해*Course not open for foreign exchange students,2023,2학기,4.3,자주함,3.1,2.9,4.3,3.7,61.1%
SEDU313,03,교육행정및교육경영*Course not open for foreign exchange students,2023,2학기,4.7,매번함,2.7,2.7,4.0,4.1,71.4%
SEDU313,02,교육행정및교육경영*수업시작시간 8:40 *Course not open for foreign exchange students,2023,2학기,3.8,매번함,3.2,3.1,3.4,3.1,30.0%
SEDU309,04,특수교육학개론*Course not open for foreign exchange students,2023,2학기,4.5,매번함,3.0,2.8,4.0,3.4,62.5%
SEDU309,02,특수교육학개론*Course not open for foreign exchange students(담당교원:손서영),2023,2학기,4.6,매번함,3.4,2.9,4.3,4.1,44.4%
SEDU309,01,특수교육학개론*Course not open for foreign exchange students(담당교원:손서영),2023,2학기,4.6,매번함,3.4,2.4,4.7,4.3,57.1%
SEDU303,04,교직실무*Course not open for foreign exchange students,2023,2학기,2.9,매번함,2.6,2.9,3.0,2.5,
SEDU303,03,교직실무*수업시작시간 8:40 *Course not open for foreign exchange students,2023,2학기,4.3,매번함,1.8,2.0,2.7,1.8,16.7%
SEDU303,01,교직실무*Course not open for foreign exchange students,2023,2학기,4.3,자주함,2.9,2.5,4.1,2.7,37.5%
SEDU220,03,교육현장에서의진로디자인강의실: 교육관 509호,2023,2학기,4.6,매번함,2.4,2.2,4.4,4.0,60.0%
SEDU208,04,생활지도및상담*수업시작시간 8:40 *Course not open for foreign exchange students,2023,2학기,4.2,매번함,3.1,2.9,4.5,3.8,50.0%
SEDU208,03,생활지도및상담*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,4.4,매번함,3.4,3.3,4.5,4.0,40.0%
SEDU208,02,생활지도및상담*Course not open for foreign exchange students,2023,2학기,4.9,매번함,2.9,2.1,4.6,4.1,57.1%
SEDU208,01,생활지도및상담*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,4.3,매번함,2.9,2.7,4.1,3.7,46.7%
SEDU206,01,교육평가*수업시간 16:30-18:10*Course not open for foreign exchange students(담당교원:김효진),2023,2학기,4.8,매번함,3.0,2.8,4.6,3.8,60.0%
SEDU205,03,교육과정*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,3.9,매번함,3.1,3.1,3.9,3.5,21.4%
SEDU205,02,교육과정*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,4.5,매번함,3.9,3.3,4.1,3.3,50.0%
SEDU205,01,교육과정*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,4.0,매번함,3.3,3.3,3.1,3.3,25.0%
SEDU204,02,교육방법및교육공학*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,4.7,매번함,3.4,3.4,4.1,4.4,55.6%
SEDU202,02,교육철학및교육사*수업시작시간 8:40 *Course not open for foreign exchange students,2023,2학기,4.2,매번함,1.2,1.5,4.0,2.2,50.0%
SEDU202,01,교육철학및교육사*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,4.1,매번함,1.5,1.9,4.0,2.6,50.0%
SEDU104,03,교육사회*Course not open for foreign exchange students,2023,2학기,4.8,매번함,3.4,2.8,4.9,4.2,77.8%
SEDU104,02,교육사회*Course not open for foreign exchange students,2023,2학기,4.2,매번함,3.6,3.2,4.4,3.8,60.0%
SEDU104,01,교육사회*수업시작시간 8:40 *Course not open for foreign exchange students,2023,2학기,4.6,매번함,4.1,3.8,4.7,4.4,18.2%
SEDU103,04,교육심리*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,4.6,매번함,3.6,3.2,4.6,4.2,50.0%
SEDU103,02,교육심리*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,4.4,매번함,4.4,3.6,4.5,3.9,57.1%
SEDU103,01,교육심리*Course not open for foreign exchange students,2023,2학기,4.7,매번함,4.5,3.6,4.9,4.6,63.6%
SEDU101,06,교육학개론*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,3.9,매번함,3.1,3.0,4.1,3.2,35.7%
SEDU101,05,교육학개론*수업시작시간 8:40 *Course not open for foreign exchange students,2023,2학기,4.1,매번함,2.4,2.1,3.4,2.7,57.1%
SEDU101,04,교육학개론*Course not open for foreign exchange students,2023,2학기,4.5,매번함,4.0,2.8,4.6,3.6,81.8%
SEDU101,03,교육학개론*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,4.0,자주함,2.5,2.7,3.7,3.1,37.5%
SEDU101,02,교육학개론*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,4.0,매번함,1.8,1.9,3.8,2.3,66.7%
SEDU101,01,교육학개론*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,4.4,거의안함,3.0,2.3,4.2,3.7,41.7%
EAES412,00,우주과학,2023,2학기,5.0,자주함,1.4,1.6,4.4,2.7,71.4%
GECT001,00,정보적사고 DL,2023,2학기,4.6,거의안함,1.6,1.5,3.0,2.3,36.8%
